source_string,target_string,license,latin,arabic
Please set a valid API key or unset the API key in the preferences.,ⵉⵅⵚⵚⴰ ⵓⵙⵎⴰⵔ ⵏ ⵜⵙⴰⵔⵓⵜ ⵏ API ⵉⵎⵙⴰⵙⴰⵏ ⴷ ⵜⵓⴽⴽⵙⴰ ⵏ ⵜⵙⴰⵔⵓⵜ ⵏ API ⴳ ⵉⵙⵎⵢⴰⴼⵓⵜⵏ.,GPL-3.0-or-later,ikhṣṣa usmar n tsarut n API imsasan d tukksa n tsarut n API g ismyafutn.,يخصصا وسمار ن تساروت ن API يمساسان د توككسا ن تساروت ن API ڭ يسميافوتن.
API key is required to use the service,ⵜⴳⴰ ⵜⵙⴰⵔⵓⵜ ⵏ API ⵜⵓⵛⵛⵉⵍⵜ ⵉ ⵓⵙⵎⵔⵙ ⵏ ⵜⵏⴰⴼⵓⵜ,GPL-3.0-or-later,tga tsarut n API tushshilt i usmrs n tnafut,تڭا تساروت ن API توششيلت ي وسمرس ن تنافوت
Please set an API key in the preferences.,ⵉⵅⵚⵚⴰ ⵓⵙⵎⴰⵔ ⵏ ⵜⵙⴰⵔⵓⵜ ⵏ API ⴳ ⵉⵙⵎⵢⴰⴼⵓⵜⵏ.,GPL-3.0-or-later,ikhṣṣa usmar n tsarut n API g ismyafutn.,يخصصا وسمار ن تساروت ن API ڭ يسميافوتن.
Failed loading the translation service,ⴰⵣⴳⴰⵍ ⴳ ⵡⴰⴳⴰⵎ ⵏ ⵜⵏⴰⴼⵓⵜ ⵏ ⵓⵙⵓⵖⵍ,GPL-3.0-or-later,azgal g wagam n tnafut n usughl,ازڭال ڭ واڭام ن تنافوت ن وسوغل
Please report this in the Dialect bug tracker if the issue persists.,ⵙⵏⵖⵎⵙ ⵙ ⵓⵢⵏⵏⴰ ⴳ ⵓⵎⴹⴼⴰⵕ ⵏ ⵜⵣⴳⴰⵍⵉⵏ ⵏ Dialect ⵎⵛ ⵜⵙⵓⵍ ⵜⵎⵓⴽⵔⵉⵙⵜ ⴰⴷ.,GPL-3.0-or-later,snghms s uynna g umḍfaṛ n tzgalin n Dialect msh tsul tmukrist ad.,سنغمس س ويننا ڭ ومضفار ن تزڭالين ن Dialect مش تسول تموكريست اد.
Couldn’t connect to the translation service,ⵜⴰⵣⴳⵍⵜ ⵏ ⵡⴰⵡⴰⴹ ⵖⵔ ⵜⵏⴰⴼⵓⵜ ⵏ ⵓⵙⵓⵖⵍ,GPL-3.0-or-later,tazglt n wawaḍ ghr tnafut n usughl,تازڭلت ن واواض غر تنافوت ن وسوغل
We can’t connect to the server. Please check for network issues.,"ⵓⵔ ⵏⵣⵎⵔ ⴰⴷ ⵏⴰⵡⴹ ⵖⵔ ⵓⵎⴰⴽⴽⴰⵢ, ⵙⵙⵉⴷⴻⴷ ⵜⵉⵎⵓⴽⵔⵉⵙⵉⵏ ⵏ ⵓⵥⵟⵟⴰ.",GPL-3.0-or-later,"ur nzmr ad nawḍ ghr umakkay, ssided timukrisin n uẓṭṭa.","ور نزمر اد ناوض غر وماككاي, سسيد°د تيموكريسين ن وزّططا."
A network issue has occurred. Retry?,ⵜⵍⵍⴰ ⴽⵔⴰ ⵜⵎⵓⴽⵔⵉⵙⵜ ⴳ ⵓⵥⵟⵟⴰ. ⴰⵍⵙ?,GPL-3.0-or-later,tlla kra tmukrist g uẓṭṭa. als?,تللا كرا تموكريست ڭ وزّططا. الس?
A network issue has occurred. Please try again.,ⵜⵍⵍⴰ ⴽⵔⴰ ⵜⵎⵓⴽⵔⵉⵙⵜ ⴳ ⵓⵥⵟⵟⴰ. ⴰⵍⵙ ⴷⴰⵖ.,GPL-3.0-or-later,tlla kra tmukrist g uẓṭṭa. als dagh.,تللا كرا تموكريست ڭ وزّططا. الس داغ.
New translation has been suggested!,ⵜⴻⵜⵜⵓⵙⵙⵓⵎⵔ ⵢⴰⵜ ⵜⵙⵓⵖⵍⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ!,GPL-3.0-or-later,tettussumr yat tsughlt tamaynut!,ت°تتوسسومر يات تسوغلت تاماينوت!
Suggestion failed.,ⵉⵜⵜⵡⴰⵣⴳⵍ ⵓⵙⵓⵎⵔ.,GPL-3.0-or-later,ittwazgl usumr.,يتتوازڭل وسومر.
{} characters limit reached!,ⵉⵜⵜⵡⴰⵡⴹ ⵓⵡⵜⵜⵓ ⵏ {} ⵏ ⵓⵙⴽⴽⵉⵍ!,GPL-3.0-or-later,ittwawḍ uwttu n {} n uskkil!,يتتواوض ووتتو ن {} ن وسككيل!
Did you mean:,ⵉⵙ ⵜⵔⵉⴷ ⴰⴷ ⵜⵉⵏⵉⴷ:,GPL-3.0-or-later,is trid ad tinid:,يس تريد اد تينيد:
"Translation failed, check for network issues","ⵉⵜⵜⵡⴰⵣⴳ ⵓⵙⵓⵖⵍ, ⵙⵙⵉⴷⴻⴷ ⵜⵉⵎⵓⴽⵔⵉⵙⵉⵏ ⵏ ⵓⵥⵟⵟⴰ",GPL-3.0-or-later,"ittwazg usughl, ssided timukrisin n uẓṭṭa","يتتوازڭ وسوغل, سسيد°د تيموكريسين ن وزّططا"
Translation failed,ⵉⵜⵜⵡⴰⵣⴳⵍ ⵓⵙⵓⵖⵍ,GPL-3.0-or-later,ittwazgl usughl,يتتوازڭل وسوغل
Calendar,ⴰⵙⵎⵍⵓⵙⵙⴰⵏ,GPL-3.0-or-later,asmlussan,اسملوسسان
Week,ⵜⴰⵔⴱⴰⵢⵜ,GPL-3.0-or-later,tarbayt,تاربايت
Unavailable message.,ⵜⴰⴱⵔⴰⵜ ⴰⴷ ⵓⵔ ⵜⵍⵍⵉ.,GPL-3.0-or-later,tabrat ad ur tlli.,تابرات اد ور تللي.
Could not load decryption code for the YouTube service.,ⵉⵍⵍⴰ ⵓⵣⴳⴰⵍ ⴳ ⵡⴰⴳⴰⵎ ⵏ ⵉⵏⵉⴳⵍ ⵏ ⵓⵔⴰⵏⵜⴰⵍ ⵉ ⵜⵏⴰⴼⵓⵜ ⵏ YouTube.,GPL-3.0-or-later,illa uzgal g wagam n inigl n urantal i tnafut n YouTube.,يللا وزڭال ڭ واڭام ن ينيڭل ن ورانتال ي تنافوت ن YouTube.
Parsing error.,ⵜⴰⵣⴳⵍⵜ ⴳ ⵓⵙⴼⵙⵉ.,GPL-3.0-or-later,tazglt g usfsi.,تازڭلت ڭ وسفسي.
Video Playback Error,ⵜⴰⵣⴳⵍⵜ ⴳ ⵓⵙⵡⵓⵔⵉ ⵏ ⵓⴼⵉⴷⵢⵓ,GPL-3.0-or-later,tazglt g uswuri n ufidyu,تازڭلت ڭ وسووري ن وفيديو
The '%s' video has no streams.,ⴰⴼⵉⴷⵢⵓ ⵏ '%s' ⵓⵔ ⴷⵉⴳⵙ ⴰⵣⵓⵣⵣⵔ.,GPL-3.0-or-later,afidyu n '%s' ur digs azuzzr.,افيديو ن '%s' ور ديڭس ازوززر.
Could not fetch the any of the video streams.,ⴰⵣⴳⴰⵍ ⴳ ⵡⴰⵡⴰⴹ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰⵡⵉⵏ ⵏ ⵓⵣⵓⵣⵣⵔ ⵏ ⵓⴼⵉⴷⵢⵓ.,GPL-3.0-or-later,azgal g wawaḍ ghr tgrummawin n uzuzzr n ufidyu.,ازڭال ڭ واواض غر تڭرومماوين ن وزوززر ن وفيديو.
Could not fetch the video description.,ⴰⵣⴳⴰⵍ ⴳ ⵡⴰⵡⴰⴹ ⵖⵔ ⵓⴳⵍⴰⵎ ⵏ ⵓⴼⵉⴷⵢⵓ.,GPL-3.0-or-later,azgal g wawaḍ ghr uglam n ufidyu.,ازڭال ڭ واواض غر وڭلام ن وفيديو.
Invalid video URL: %s,URL ⵏ ⵓⴼⵉⴷⵢⵓ ⵓⵔ ⵉⵎⵙⴰⵙⴰ: %s,GPL-3.0-or-later,URL n ufidyu ur imsasa: %s,URL ن وفيديو ور يمساسا: %s
The downloaded video looks <b>corrupted</b>: <br/> <br/> %s. <br/> <br/> <b>Delete</b> the file?,ⵉⴹⵀⵕ ⴷ ⵓⴼⵉⴷⵢⵓ ⵏⵏⴰ ⵉⵜⵜⵡⴰⴳⵎⵏ <b> ⴷ ⵉⵎⵉⵛⴽⵉ </b>: <br/> <br/> %s. <br/> <br/> <b> ⴽⴽⵙ </b> ⴰⴼⴰⵢⵍⵓ?,GPL-3.0-or-later,iḍhṛ d ufidyu nna ittwagmn <b> d imishki </b>: <br/> <br/> %s. <br/> <br/> <b> kks </b> afaylu?,يضهر د وفيديو ننا يتتواڭمن <b> د يميشكي </b>: <br/> <br/> %s. <br/> <br/> <b> ككس </b> افايلو?
Could not start the video: <br/> <br/> %s.,ⴰⵣⴳⴰⵍ ⴳ ⵓⵙⵏⵜⵉ ⵏ ⵓⴼⵉⴷⵢⵓ: <br/> <br/> %s.,GPL-3.0-or-later,azgal g usnti n ufidyu: <br/> <br/> %s.,ازڭال ڭ وسنتي ن وفيديو: <br/> <br/> %s.
Metered Network,ⴰⵥⵟⵟⴰ ⴰⵏⴽⵔⵓⴼ,GPL-3.0-or-later,aẓṭṭa ankruf,ازّططا انكروف
Never ask again.,ⴰⴷ ⵓⵔ ⵉⵢⵉ ⵜⵙⵇⵙⴰ ⴷⴰⵖ.,GPL-3.0-or-later,ad ur iyi tsqsa dagh.,اد ور ييي تسقسا داغ.
Play Video,ⵕⵥⵎ ⴰⴼⵉⴷⵢⵓ,GPL-3.0-or-later,ṛẓm afidyu,رزّم افيديو
Ratings off,ⵙⴱⴷⴷ ⴰⵣⵎⵎⴻⵎ,GPL-3.0-or-later,sbdd azmmem,سبدد ازمم°م
Loading video…,ⴰⴽⵜⵓⵔ ⵏ ⵓⴼⵉⴷⵢⵓ…,GPL-3.0-or-later,aktur n ufidyu…,اكتور ن وفيديو…
Reload Video,ⴰⵍⵙ ⴰⴳⴰⵎ ⵏ ⵓⴼⵉⴷⵢⵓ,GPL-3.0-or-later,als agam n ufidyu,الس اڭام ن وفيديو
Open in web browser,ⴽⵛⵎ ⵙ ⵓⵎⵙⵙⴰⵔⴰ ⵏ web,GPL-3.0-or-later,kshm s umssara n web,كشم س ومسسارا ن web
Open with…,ⵕⵥⵎ ⵙ…,GPL-3.0-or-later,ṛẓm s…,رزّم س…
Share,ⴱⴹⵓ,GPL-3.0-or-later,bḍu,بضو
Share via…,ⴱⴹⵓ ⵙ…,GPL-3.0-or-later,bḍu s…,بضو س…
Copy URL,ⵙⵙⵏⵖⵍ URL,GPL-3.0-or-later,ssnghl URL,سسنغل URL
URL copied to clipboard.,ⵉⵜⵜⵓⵙⵙⵏⵖⵍ URL ⴳ ⵜⵣⵣⵏⴱⵉⵍⵜ.,GPL-3.0-or-later,ittussnghl URL g tzznbilt.,يتتوسسنغل URL ڭ تززنبيلت.
Play,ⵕⵥⵎ,GPL-3.0-or-later,ṛẓm,رزّم
'%.1f UV Index','%.1f ⵏ ⵓⵏⵎⵎⴰⵍ ⵏ ⵉⵥⵏⵥⴰⵕⵏ ⵏⵏⵉⴳ ⵏ ⵉⵎⴽⵥⴰⵢⵏ',GPL-3.0-or-later,'%.1f n unmmal n iẓnẓaṛn nnig n imkẓayn','%.1f ن ونممال ن يزّنزّارن ننيڭ ن يمكزّاين'
Feels like %s,ⵢⵓⵎⴰⵏ ⴷ ⵉⵙ ⵉⴳⴰ %s,GPL-3.0-or-later,yuman d is iga %s,يومان د يس يڭا %s
'%s Humidity','%s ⵏ ⵓⴳⵓⵏⴷⵓ',GPL-3.0-or-later,'%s n ugundu','%s ن وڭوندو'
See previous comments,ⵥⵕ ⵉⵅⴼⴰⵡⴰⵍⵏ ⵉⵎⵣⵡⵓⵔⴰ,AGPL-3.0-or-later,ẓṛ ikhfawaln imzwura,زّر يخفاوالن يمزوورا
See next comments,ⵥⵕ ⵉⵅⴼⴰⵡⴰⵍⵏ ⵉⵎⴳⴳⵓⵔⴰ,AGPL-3.0-or-later,ẓṛ ikhfawaln imggura,زّر يخفاوالن يمڭڭورا
{{duration}} ago,{{duration}} ⵉⵣⵔⵉⵏ,AGPL-3.0-or-later,{{duration}} izrin,{{duration}} يزرين
Groups,ⵜⵉⴳⵔⵓⵎⵎⴰⵡⵉⵏ,AGPL-3.0-or-later,tigrummawin,تيڭرومماوين
email,ⵉⵎⴰⵢⵍ,AGPL-3.0-or-later,imayl,يمايل
password,ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,inigl n wadaf,ينيڭل ن واداف
new password,ⵉⵏⵉⴳⵍ ⴰⵎⴰⵢⵏⵓ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,inigl amaynu n wadaf,ينيڭل اماينو ن واداف
confirm password,ⵙⴷⴷⵉⴷ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,sddid inigl n wadaf,سدديد ينيڭل ن واداف
Connection,ⴰⵡⴰⴹ,AGPL-3.0-or-later,awaḍ,اواض
Submit,ⴰⵣⵏ,AGPL-3.0-or-later,azn,ازن
Title of your message (optional),ⴰⵣⵡⵍ ⵏ ⵜⴱⵔⴰⵜ ⵏⵏⴽ (ⴰⵔⵓⵛⵛⵉⵍ),AGPL-3.0-or-later,azwl n tbrat nnk (arushshil),ازول ن تبرات ننك (اروششيل)
Write your message here,ⴰⵔⵉ ⴷⴰ ⵜⴰⴱⵔⴰⵜ ⵏⵏⴽ,AGPL-3.0-or-later,ari da tabrat nnk,اري دا تابرات ننك
Add photos,ⵔⵏⵓ ⵜⵉⵡⵍⴰⴼⵉⵏ,AGPL-3.0-or-later,rnu tiwlafin,رنو تيولافين
Add a video,ⵔⵏⵓ ⵉⴼⵉⴷⵢⵓⵜⵏ,AGPL-3.0-or-later,rnu ifidyutn,رنو يفيديوتن
Add musics,ⵔⵏⵓ ⵉⵥⴰⵡⴰⵏⵏ,AGPL-3.0-or-later,rnu iẓawann,رنو يزّاوانن
Add pdf,ⵔⵏⵓ pdf,AGPL-3.0-or-later,rnu pdf,رنو pdf
Add a date,ⵔⵏⵓ ⴽⵔⴰ ⵏ ⵓⵙⴰⴽⵓⴷ,AGPL-3.0-or-later,rnu kra n usakud,رنو كرا ن وساكود
Logout,ⴼⴼⵖ,AGPL-3.0-or-later,ffgh,ففغ
Settings,ⵜⵉⵙⵖⴰⵍ,AGPL-3.0-or-later,tisghal,تيسغال
Name,ⵉⵙⵎ,AGPL-3.0-or-later,ism,يسم
Choose a name,ⵙⵜⵉ ⴽⵔⴰ ⵏ ⵢⵉⵙⵎ,AGPL-3.0-or-later,sti kra n yism,ستي كرا ن ييسم
Login,ⴰⴽⵛⴰⵎ,AGPL-3.0-or-later,aksham,اكشام
Choose a login,ⵙⵜⵉ ⴽⵔⴰ ⵏ ⵓⴽⵛⴰⵎ,AGPL-3.0-or-later,sti kra n uksham,ستي كرا ن وكشام
Email,ⵉⵎⴰⵢⵍ,AGPL-3.0-or-later,imayl,يمايل
Fill in your email here,ⵙⵙⵉⴷⴼ ⵉⵎⴰⵢⵍ ⵏⵏⴽ ⴷⴰ,AGPL-3.0-or-later,ssidf imayl nnk da,سسيدف يمايل ننك دا
Save changes,ⵃⴹⵓ ⵉⵙⵏⴼⴰⵍⵏ,AGPL-3.0-or-later,ḥḍu isnfaln,حضو يسنفالن
Password,ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,inigl n wadaf,ينيڭل ن واداف
Write a new password here,ⴰⵔⵉ ⴷⴰ ⵉⵏⵉⴳⵍ ⴰⵎⴰⵢⵏⵓ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,ari da inigl amaynu n wadaf,اري دا ينيڭل اماينو ن واداف
Invalid login and/or password,ⵉⵜⵜⴰⵡⵣⴳⵍ ⵓⴽⵛⴰⵎ ⴷ/ⵏⵉⵖ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,ittawzgl uksham d/nigh inigl n wadaf,يتتاوزڭل وكشام د/نيغ ينيڭل ن واداف
Edit,ⵙⴳⴳⴷ,AGPL-3.0-or-later,sggd,سڭڭد
Delete,ⵙⵙⴼⴹ,AGPL-3.0-or-later,ssfḍ,سسفض
Are you sure to delete this message?,ⵉⵙ ⵜⵃⵇⵇⵉⴷ ⴰⴷ ⵜⴽⴽⵙⴷ ⵜⴰⴱⵔⴰⵜ ⴰⴷ?,AGPL-3.0-or-later,is tḥqqid ad tkksd tabrat ad?,يس تحققيد اد تككسد تابرات اد?
Account,ⴰⵎⵉⴹⴰⵏ,AGPL-3.0-or-later,amiḍan,اميضان
Did you forget your password?,ⵉⵙ ⵜⴻⵜⵜⵓⴷ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⵏⵏⴽ?,AGPL-3.0-or-later,is tettud inigl n wadaf nnk?,يس ت°تتود ينيڭل ن واداف ننك?
The password reset email was sent !,ⵉⵜⵜⵡⴰⵙⵙⵉⴼⴹ ⵉⵎⴰⵢⵍ ⵅⴼ ⵡⴰⵍⴰⵙ ⵏ ⵓⵙⵔⵓⵙ ⵏ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ!,AGPL-3.0-or-later,ittwassifḍ imayl khf walas n usrus n inigl n wadaf!,يتتواسسيفض يمايل خف والاس ن وسروس ن ينيڭل ن واداف!
User not found,ⴰⵏⵙⵙⵎⵔⵙ ⵓⵔ ⵉⵍⵍⵉ,AGPL-3.0-or-later,anssmrs ur illi,انسسمرس ور يللي
Reset your password,ⴰⵍⵙ ⴰⵙⵏⵓⵎ ⵏ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⵏⵏⴽ,AGPL-3.0-or-later,als asnum n inigl n wadaf nnk,الس اسنوم ن ينيڭل ن واداف ننك
An error occurred,ⵜⵍⵍⴰ ⵉⵛⵜ ⵏ ⵜⵣⴳⵍⵜ,AGPL-3.0-or-later,tlla isht n tzglt,تللا يشت ن تزڭلت
Passwords don't match,ⵓⵔ ⵉⵎⵙⴰⵙⴰ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,AGPL-3.0-or-later,ur imsasa inigl n wadaf,ور يمساسا ينيڭل ن واداف
Invitation link,ⴰⵙⵖⵓⵏ ⵏ ⵓⵙⵉⴳⵔ,AGPL-3.0-or-later,asghun n usigr,اسغون ن وسيڭر
Reset invitation link,ⴰⵍⵙ ⴰⵙⵏⵓⵎ ⵏ ⵓⵙⵖⵓⵏ ⵏ ⵓⵙⵉⴳⵔ,AGPL-3.0-or-later,als asnum n usghun n usigr,الس اسنوم ن وسغون ن وسيڭر
Welcome on Zusam ! Please sign up before joining the group.,ⴰⵏⵙⵓⴼ ⵉⵙⴽ ⴳ Zusam ! ⵉⵅⵚⵚⴰ ⴰⴽ ⵓⵣⵎⵎⴻⵎ ⴷⴰⵜ ⵏ ⵓⴽⵛⴰⵎ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰ.,AGPL-3.0-or-later,ansuf isk g Zusam ! ikhṣṣa ak uzmmem dat n uksham ghr tgrumma.,انسوف يسك ڭ Zusam ! يخصصا اك وزمم°م دات ن وكشام غر تڭرومما.
Sign up,ⴰⵣⵎⵎⴻⵎ,AGPL-3.0-or-later,azmmem,ازمم°م
Create a group,ⵙⴽⵔ ⴽⵔⴰ ⵏ ⵜⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,skr kra n tgrumma,سكر كرا ن تڭرومما
Create the group,ⵙⴽⵔ ⵜⴰⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,skr tagrumma,سكر تاڭرومما
Leave the group,ⴼⴼⵖ ⵙⴳ ⵜⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,ffgh sg tgrumma,ففغ سڭ تڭرومما
Your settings were updated,ⵜⵜⵓⵙⵎⴰⵢⵏⵓⵏⵜ ⵜⵙⵖⴰⵍ ⵏⵏⴽ,AGPL-3.0-or-later,ttusmaynunt tsghal nnk,تتوسماينونت تسغال ننك
The group was updated !,ⵜⴻⵜⵜⵓⵙⵎⴰⵢⵏⵓ ⵜⴳⵔⵓⵎⵎⴰ ⵏⵏⴽ !,AGPL-3.0-or-later,tettusmaynu tgrumma nnk !,ت°تتوسماينو تڭرومما ننك !
You left the group !,ⵜⴼⴼⵖⴷ ⵙⴳ ⵜⴳⵔⵓⵎⵎⴰ !,AGPL-3.0-or-later,tffghd sg tgrumma !,تففغد سڭ تڭرومما !
An error ocurred. Try uploading images one by one (this can happen in some browsers),ⵜⴰⵣⴳⵍⵜ. ⴰⵍⵙ ⴰⴳⴰⵎ ⵏ ⵜⵡⵍⴰⴼⵉⵏ ⵉⵛⵜ ⵙ ⵢⵉⵛⵜ (ⵉⵣⵎⵔ ⴰⴷ ⵢⵉⵍⵉ ⵓⵢⴰⴷ ⴷⵉ ⴽⵔⴰ ⵏ ⵉⵎⵙⵙⴰⵔⴰⵜⵏ).,AGPL-3.0-or-later,tazglt. als agam n twlafin isht s yisht (izmr ad yili uyad di kra n imssaratn).,تازڭلت. الس اڭام ن تولافين يشت س ييشت (يزمر اد ييلي وياد دي كرا ن يمسساراتن).
An error occurred while sending your message.,ⵜⴰⵣⴳⵍⵜ ⴳ ⵓⵙⵉⴼⴹ ⵏ ⵜⴱⵔⴰⵜ ⵏⵏⴽ.,AGPL-3.0-or-later,tazglt g usifḍ n tbrat nnk.,تازڭلت ڭ وسيفض ن تبرات ننك.
An error occurred during the upload,ⵜⴰⵣⴳⵍⵜ ⴳ ⵡⴰⴳⴰⵎ,AGPL-3.0-or-later,tazglt g wagam,تازڭلت ڭ واڭام
Do you really want to cancel writing a new message?,ⵉⵙ ⵜⵃⵇⵇⵉⴷ ⵓⵔ ⵜⵔⵉⴷ ⴰⴷ ⵜⴰⵔⵉⴷ ⴽⵔⴰ ⵏ ⵜⴱⵔⴰⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ?,AGPL-3.0-or-later,is tḥqqid ur trid ad tarid kra n tbrat tamaynut?,يس تحققيد ور تريد اد تاريد كرا ن تبرات تاماينوت?
The message is empty and cannot be sent !,ⵜⵅⵡⴰ ⵜⴱⵔⴰⵜ ⵓⵔ ⵉⵣⵔⵉ ⵓⵙⵉⴼⴹ ⵏⵏⵙ !,AGPL-3.0-or-later,tkhwa tbrat ur izri usifḍ nns !,تخوا تبرات ور يزري وسيفض ننس !
Cancel,ⵙⵙⵔ,AGPL-3.0-or-later,ssr,سسر
Just now,ⴷⵖⵉ ⵏⵏⵉⵜ,AGPL-3.0-or-later,dghi nnit,دغي ننيت
Email notifications,ⵉⵙⵓⴼⵔⵉⵜⵏ ⵏ ⵉⵎⴰⵢⵍ,AGPL-3.0-or-later,isufritn n imayl,يسوفريتن ن يمايل
,ⵓⵀⵓ,AGPL-3.0-or-later,uhu,وهو
Hourly,ⴽⵓ ⵜⴰⵙⵔⴰⴳⵜ,AGPL-3.0-or-later,ku tasragt,كو تاسراڭت
Daily,ⴽⵓ ⴰⵙⵙ,AGPL-3.0-or-later,ku ass,كو اسس
Weekly,ⴽⵓ ⵉⵎⴰⵍⴰⵙⵙ,AGPL-3.0-or-later,ku imalass,كو يمالاسس
Monthly,ⴽⵓ ⴰⵢⵢⵓⵔ,AGPL-3.0-or-later,ku ayyur,كو اييور
Email notifications stopped !,ⴱⴷⴷⵏ ⵉⵙⵓⴼⵔⵉⵜⵏ ⵏ ⵉⵎⴰⵢⵍ !,AGPL-3.0-or-later,bddn isufritn n imayl !,بددن يسوفريتن ن يمايل !
To which group do you want to send this message?,ⵎⴰⵜⵜⴰ ⵜⴳⵔⵓⵎⵎⴰ ⵏⵏⴰ ⵜⵔⵉⴷ ⴰⴷ ⴰⵙ ⵜⵙⵙⵉⴼⴹⴷ ⵜⴰⴱⵔⴰⵜ ⴰⴷ?,AGPL-3.0-or-later,matta tgrumma nna trid ad as tssifḍd tabrat ad?,ماتتا تڭرومما ننا تريد اد اس تسسيفضد تابرات اد?
public link,ⴰⵙⵖⵓⵏ ⴰⵎⴰⵜⴰⵢ,AGPL-3.0-or-later,asghun amatay,اسغون اماتاي
Default group,ⵜⴰⴳⵔⵓⵎⵎⴰ ⵜⴰⵎⵔⴷⵓⵜ,AGPL-3.0-or-later,tagrumma tamrdut,تاڭرومما تامردوت
Delete your account,ⴽⴽⵙ ⴰⵎⵉⴹⴰⵏ ⵏⵏⴽ,AGPL-3.0-or-later,kks amiḍan nnk,ككس اميضان ننك
"Once you delete your account, there is no going back. Please be certain.","ⵎⵛ ⵜⴽⴽⵙⴷ ⴰⵎⵉⴹⴰⵏ ⵏⵏⴽ, ⵓⵙⴰⵔ ⴰⴷ ⴷ ⵜⴰⵖⵓⵍⴷ. ⵃⵇⵇⴰ ⵙ ⵓⵢⴰⴷ.",AGPL-3.0-or-later,"msh tkksd amiḍan nnk, usar ad d taghuld. ḥqqa s uyad.","مش تككسد اميضان ننك, وسار اد د تاغولد. حققا س وياد."
Are you sure?,ⵉⵙ ⵜⵃⵇⵇⵉⴷ?,AGPL-3.0-or-later,is tḥqqid?,يس تحققيد?
share the message,ⴱⴹⵓ ⵜⴰⴱⵔⴰⵜ ⴰⴼ,AGPL-3.0-or-later,bḍu tabrat af,بضو تابرات اف
users,ⵉⵏⵙⵙⵎⵔⴰⵙ,AGPL-3.0-or-later,inssmras,ينسسمراس
has posted in,ⵉⵜⵜⵡⴰⴼⵙⵔ ⴳ,AGPL-3.0-or-later,ittwafsr g,يتتوافسر ڭ
has commented on,ⵉⵙⴽⵔ ⴰⵅⴼⴰⵡⴰⵍ ⵅⴼ,AGPL-3.0-or-later,iskr akhfawal khf,يسكر اخفاوال خف
has joined,ⵉⴽⵛⵎ,AGPL-3.0-or-later,ikshm,يكشم
has left,ⵉⴼⴼⵖ,AGPL-3.0-or-later,iffgh,يففغ
the message from,ⵜⴰⴱⵔⴰⵜ ⵙⴳ,AGPL-3.0-or-later,tabrat sg,تابرات سڭ
in,ⴳ,AGPL-3.0-or-later,g,ڭ
language,ⵜⵓⵜⵍⴰⵢⵜ,AGPL-3.0-or-later,tutlayt,توتلايت
reply,ⵔⴰⵔ,AGPL-3.0-or-later,rar,رار
{{count}} reply,{{count}} ⵉⵔⴰⵔ,AGPL-3.0-or-later,{{count}} irar,{{count}} يرار
{{count}} replies,{{count}} ⵜⵉⵎⵔⴰⵔⵓⵜⵉⵏ,AGPL-3.0-or-later,{{count}} timrarutin,{{count}} تيمراروتين
publish in the group,ⴼⵙⵔ ⴳ ⵜⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,fsr g tgrumma,فسر ڭ تڭرومما
search in this group,ⵔⵣⵓ ⴳ ⵜⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,rzu g tgrumma,رزو ڭ تڭرومما
changed the group's name,ⵜⵙⵏⴼⵍⴷ ⵉⵙⵎ ⵏ ⵜⴳⵔⵓⵎⵎⴰ,AGPL-3.0-or-later,tsnfld ism n tgrumma,تسنفلد يسم ن تڭرومما
to,ⵉ,AGPL-3.0-or-later,i,ي
notifications,ⵉⵙⵓⴼⵔⵉⵜⵏ,AGPL-3.0-or-later,isufritn,يسوفريتن
mark all as read,ⵕⵛⵎ ⵎⴰⵕⵕⴰ ⴰⵎ ⵉⵜⵜⵡⴰⵖⵔⵏ,AGPL-3.0-or-later,ṛshm maṛṛa am ittwaghrn,رشم ماررا ام يتتواغرن
