Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵜⴰⵜⵜⵓⵢⵜ,altimètre,مقياس الارتفاع,tamsghalt n tattuyt,تامسغالت ن تاتتويت,Altimeter
ⵜⴰⵜⵜⵓⵢⵜ ⵜⴰⵎⴰⵙⵙⴰⵖⵜ,altitude relative,ارتفاع نسبي,tattuyt tamassaght,تاتتويت تاماسساغت,Relative increase
ⵜⴰⵜⵜⵓⵢⵜ ⵜⴰⵎⵏⵏⵓⴼⵙⵍⵜ,altitude absolue,ارتفاع مطلق,tattuyt tamnnufslt,تاتتويت تامننوفسلت,Absolute elevation
ⵜⴰⵟⵟⵓⵜ ⵙ ⵓⵙⵡⵉⵔ,Répartition par niveaux,توزيع حسب السيولة,taṭṭut s uswir,تاططوت س وسوير,Distribution by liquidity
ⵜⴰⵡⴰⴼⵉⵜ ⵣⵉⴽ,détection précoce,كشف مبكر,tawafit zik,تاوافيت زيك,Early detection
ⴳ ⵜⴰⵡⴰⵍⴰ,alterner,تناوَبَ، تداول,g tawala,ڭ تاوالا,"Alternated, circulated."
ⵜⴰⵡⴰⵍⴰ ⵏ ⵡⴰⵎⴰⵏ,tour d'eau,نوبة ماء,tawala n waman,تاوالا ن وامان,A bout of water.
ⴰⵍⵎⵙⵙⵉ ⵏ ⵜⵡⴰⵛⵓⵏⵜ,foyer familial,بؤرة عائلية,almssi n twashunt,المسسي ن تواشونت,A family focus.
ⵜⴰⵡⴰⵢⵜ ⵖⵔ ⴷⴰⵜ,assimilation progressive,مماثلة أمامية,tawayt ghr dat,تاوايت غر دات,"""Frontal similarity"" or ""Front similarity."""
ⵜⴰⵡⴰⵢⵜ ⵖⵔ ⴹⴰⵕⵜ,assimilation régressive,مماثلة خلفية,tawayt ghr ḍaṛt,تاوايت غر ضارت,Background matching
ⵜⴰⵡⵉⵍⴰ ⵜⴰⵜⵜⵡⴰⵖⵜ,forme passive,صيغة المبني للمجهول,tawila tattwaght,تاويلا تاتتواغت,The passive voice form.
ⵜⴰⵡⵉⵏⵙⵜ ⵜⴰⴼⵔⴰⵔⵜ,phrase simple,جملة بسيطة,tawinst tafrart,تاوينست تافرارت,A simple sentence.
ⵜⴰⵡⵉⵏⵙⵜ ⵜⴰⵔⴰⴼⵔⴰⵔⵜ,phrase complexe,جملة مركبة,tawinst tarafrart,تاوينست تارافرارت,A compound sentence
ⵜⴰⵡⵉⵏⵙⵜ ⵜⵓⴷⴷⵉⵙⵜ,phrase complexe,جملة مركبة,tawinst tuddist,تاوينست تودديست,A compound sentence
ⴱⴰⴱ ⵏ ⵜⵡⵉⵣⵉ,bénéficiaire d'une aide collective,مستفيد من مساعدة جماعية,bab n twizi,باب ن تويزي,A beneficiary of collective assistance.
ⴰⵍⵎⵙⵙⵉ ⵏ ⵜⵡⵊⴰ,foyer familial,بؤرة عائلية,almssi n twja,المسسي ن توجا,A family hub.
ⵜⴰⵡⵊⵊⴰ ⵏ ⵓⴹⴰⵕ,football,كرة القدم,tawjja n uḍaṛ,تاوججا ن وضار,"Football (or Soccer, depending on the region)."
ⵜⴰⵡⵊⵊⴰ ⵏ ⵓⴼⵓⵙ,handball,كرة اليد,tawjja n ufus,تاوججا ن وفوس,Handball
ⵜⴰⵡⵊⵊⴰ ⵏ ⵜⵔⴰⵜⵙⴰ,volley-ball,الكرة الطائرة,tawjja n tratsa,تاوججا ن تراتسا,Volleyball
ⵜⴰⵡⵊⵊⴰ ⵏ ⵜⵙⴽⵏⵉⵜ,basket-ball,كرة السلة,tawjja n tsknit,تاوججا ن تسكنيت,Basketball
ⴰⵖⵍⴰⵢ ⵏ ⵜⴰⵡⵍⴰ,accès de fièvre,ارتفاع الحمّى,aghlay n tawla,اغلاي ن تاولا,The rise of the fever.
ⵜⴰⵡⵍⴰ ⵏ ⵉⵚⵕⵎⴰⵏ,typhoïde,حمى التيفود,tawla n iṣṛman,تاولا ن يصرمان,Typhoid fever
ⵜⴰⵡⵍⴰ ⵏ ⵓⵔⵓⵎⴰⵜⵉⵣⵎ,fièvre rhumatismale,حمى روماتيزمية,tawla n urumatizm,تاولا ن وروماتيزم,Rheumatic fever
ⵜⴰⵡⵍⴰ ⵏ ⵓⵡⵃⴰⵍ,fièvre de fatigue,حمى التعب,tawla n uwḥal,تاولا ن ووحال,Fatigue fever
ⵜⴰⵡⵍⴰ ⵏ ⵕⵕⵎⵓⵢⵜ,fièvre de fatigue,حمى التعب,tawla n ṛṛmuyt,تاولا ن ررمويت,"""Fatigue fever"""
ⵜⴰⵡⵍⴰ ⵜⴰⵎⴽⵕⴰⴹⵜ,fièvre tertiaire,حمى الملاريا الثلاثية,tawla tamkṛaḍt,تاولا تامكراضت,Tertian malaria fever
ⵜⴰⵡⵍⴰⴼⵜ ⵜⵉⵎⵣⵍⵉⵜ,"Image poétique, Figure de style",صورة شعرية,tawlaft timzlit,تاولافت تيمزليت,A poetic image
ⵜⵉⵡⵍⴰⴼⵉⵏ ⵜⵓⵙⵏⵉⵢⵉⵏ,images de synthèse,صور مركبة,tiwlafin tusniyin,تيولافين توسنييين,Composite images
ⵜⵉⵡⵍⴰⴼⵉⵏ ⵜⵜⵎⵓⵙⵙⵓⵏⵉⵏ,images en mouvement,صور متحركة,tiwlafin ttmussunin,تيولافين تتموسسونين,Animated images
ⵜⴰⵡⵍⵙⵉⵙⵜ ⵉⴼⵙⵜⵏ,glande endoctrine,غدّة صماء,tawlsist ifstn,تاولسيست يفستن,Endocrine gland
ⵜⴰⵡⵍⵙⵉⵙⵜ ⵜⴰⴼⵕⵟⴻⵟⵟⵓⵜ,glande thyroïdienne,الغدة الدرقية,tawlsist tafṛṭeṭṭut,تاولسيست تافرط°ططوت,The thyroid gland
ⵜⴰⵡⵍⵙⵉⵙⵜ ⵜⴰⵍⵎⴼⴰⵜ,glande lymphatique,غدة لمفاوية,tawlsist talmfat,تاولسيست تالمفات,Lymph node
ⵜⴰⵡⵍⵙⵉⵙⵜ ⵜⴰⵎⵙⵓⴼⵖⵜ,glande exocrine,غدة خارجية,tawlsist tamsufght,تاولسيست تامسوفغت,Exocrine gland
ⵜⴰⵡⵏⴳⵉⵎⵜ ⵜⵉⵎⵙⵍⵉⵜ,mémoire auditive,ذاكرة سمعية,tawngimt timslit,تاونڭيمت تيمسليت,Auditory memory
ⵜⴰⵎⴰⵙⵙⴰⵏⵜ ⵏ ⵜⵡⵏⵏⴰⴹⵜ,écologie,علم البيئة,tamassant n twnnaḍt,تاماسسانت ن تونناضت,Ecology
ⵜⴰⵡⵓⵔⵉ ⵣⵉ ⵜⵓⴳⴳⵓⴳⵜ,télétravail,عمل عن بعد,tawuri zi tuggugt,تاووري زي توڭڭوڭت,Remote work
ⴱⴰⴱ ⵏ ⵜⵡⵓⵔⵉⵡⵉⵏ,Homme d'affaire,رجل أعمال,bab n twuriwin,باب ن تووريوين,Businessman
ⵡⴰⵔ ⵜⴰⵡⵓⵔⵉ,chômeur,عاطل,war tawuri,وار تاووري,Unemployed
ⴰⴼⴷⵓⴷⴷⵔ ⵏ ⵜⵡⵔⵎⵉⵏ,arthrite,التهاب المفاصل,afduddr n twrmin,افدوددر ن تورمين,Arthritis
ⴰⵎⴰⵏ ⴳ ⵜⵡⵔⵎⵉⵏ,synovie,أح مفصلي، زلال,aman g twrmin,امان ڭ تورمين,"""Ah, my joint, synovial fluid."""
ⴰⵏⴳⴰⵥ ⵏ ⵜⵡⵔⵎⵉⵏ,arthralgie,رثية (ألم المفاصل),angaẓ n twrmin,انڭازّ ن تورمين,Elegy (Joint Pain)
ⵜⴰⵡⵔⵎⵜ ⵏ ⵓⴼⵓⴷ,articulation du genou,مفصِل الركبة,tawrmt n ufud,تاورمت ن وفود,Knee joint
ⵜⴰⵢⵜⵔⵜ ⵏ ⵜⵡⵔⵎⵜ,capsule articulaire,محفظة مفصلية,taytrt n twrmt,تايترت ن تورمت,Articulated wallet
ⵜⵉⵇⵇⵙⵜ ⵏ ⵜⵡⵔⵎⵉⵏ,arthralgie,رثية (ألم المفاصل),tiqqst n twrmin,تيققست ن تورمين,Elegy (Joint Pain)
ⵉⵖⵙⵙ ⵏ ⵜⵡⵔⵏⴰ,os frontal,العظم الجبهي,ighss n twrna,يغسس ن تورنا,The frontal bone
ⵜⴰⵡⵙⵓⴷⵔⵜ ⵜⴰⵙⵔⴷⴰⵙⵜ,pension militaire,معاش عسكري,tawsudrt tasrdast,تاوسودرت تاسرداست,Military pension
ⵜⴰⵡⵙⵓⴷⵔⵜ ⵜⵓⵖⵔⵉⵎⵜ,pensions civiles,معاش مدني,tawsudrt tughrimt,تاوسودرت توغريمت,Civil pension
ⵜⴰⵡⵙⵓⴷⵔⵜ ⵏ ⵡⵓⵍⵓⴼ,pension alimentaire (femme divorcée),نفقة (الزوجة المطلقة),tawsudrt n wuluf,تاوسودرت ن وولوف,Alimony (for the divorced wife)
ⵜⴰⵡⵡⵓⵔⵜ ⵏ ⵡⴰⵏⵜⵉⵔⵏⵉⵜ,portail internet,بوابة الانترنيت,tawwurt n wantirnit,تاووورت ن وانتيرنيت,The Internet Gateway
ⵜⴰⵢⴰⵏⵜ ⵏ ⵡⴰⴽⴰⵍ,intégrité territoriale,وحدة ترابية,tayant n wakal,تايانت ن واكال,Territorial unit
ⵔⴰⵔ ⵜⴰⵢⵏⵉⵜ,faire attention,انتبه,rar taynit,رار تاينيت,Be careful.
ⵜⴰⵢⵓⴳⴰ ⵜⴰⵎⴰⵥⵓⵥⵜ,culture tardive,منتوج متأخر,tayuga tamaẓuẓt,تايوڭا تامازّوزّت,Delayed product
ⵜⴰⵢⵓⴳⴰ ⵜⴰⵎⵏⵣⵓⵜ,culture précoce,منتوج مبكر,tayuga tamnzut,تايوڭا تامنزوت,Early product
ⴷⴷⴰⵡ ⵏ ⵜⴰⵢⵜ,aisselle,إبط,ddaw n tayt,دداو ن تايت,Armpit
ⵜⵉⵢⵟⵟⵓⵎⵉⵏ ⵣⴳ ⵜⴳⵔⵊⵓⵎⵜ,écouvillons oropharyngés,مسحات من البلعوم,tiyṭṭumin zg tgrjumt,تييططومين زڭ تڭرجومت,Throat swabs
ⵜⴰⵣⴰⵔⵜ ⵢⵓⵣⵖⵏ,figue sèche,تين جاف,tazart yuzghn,تازارت يوزغن,Dried figs
ⵜⵓⵍⵉ ⴷ ⵜⵣⵉⵔⵉ,La lune s'est levée.,بدَر,tuli d tziri,تولي د تزيري,Badr
ⵜⵙⵙⵉⴳⴳ ⴷ ⵜⵣⵉⵔⵉ,La pleine lune est apparue.,أطل البدر,tssigg d tziri,تسسيڭڭ د تزيري,The full moon appeared.
ⴰⵏⵙⵙⵉⵅⴼ ⵏ ⵜⵣⵓⵏⵉ,chef de département,رئيس قسم,anssikhf n tzuni,انسسيخف ن تزوني,Head of Department
ⵜⴰⵣⵓⵣⵣⴼⵜ ⵙ ⵓⵣⵡⵓ,érosion éolienne,تعرية ريحية,tazuzzft s uzwu,تازوززفت س وزوو,Wind erosion
ⵜⴰⵣⵓⵣⵣⴼⵜ ⵙ ⵡⴰⵎⴰⵏ,érosion hydrique,تعرية مائية,tazuzzft s waman,تازوززفت س وامان,Water erosion
ⵜⴰⵣⵓⵣⵣⴼⵜ ⵜⴰⵢⵍⴰⵏⵜ,érosion du littoral,تعرية بحرية,tazuzzft taylant,تازوززفت تايلانت,Marine erosion
ⴰⵎⵙⴽⴰⵔ ⵏ ⵜⵣⵓⵣⵣⴼⵜ,facteur d'érosion,عامل التعرية,amskar n tzuzzft,امسكار ن تزوززفت,Erosion agent
ⵜⴰⵣⵓⵣⵣⴼⵜ ⵏ ⵡⴰⴽⴰⵍ,corrosion,تآكل التربة,tazuzzft n wakal,تازوززفت ن واكال,Soil erosion
ⵜⴰⵣⵓⵣⵣⴼⵜ ⵙ ⵓⴷⴼⵍ,nivation,تعرية ثلجية,tazuzzft s udfl,تازوززفت س ودفل,Glacial erosion
ⵜⴰⴳⵯⵉⵜ ⵏ ⵜⵣⵔⴼⵜ,déni de justice,إنكار العدالة,tagⵯit n tzrft,تاڭⵯيت ن تزرفت,Denial of justice
ⵜⴰⵣⵔⴼⵜ ⵜⴰⵎⵙⵙⵓⴳⵓⵔⵜ,justice administrative,قضاء إداري,tazrft tamssugurt,تازرفت تامسسوڭورت,Administrative judiciary
ⵜⴰⵣⵔⴼⵜ ⵜⴰⵏⴰⵎⵓⵏⵜ,justice sociale,عدالة اجتماعية,tazrft tanamunt,تازرفت تانامونت,Social justice
ⵎⴰⵔ ⵜⴰⵣⵣⵉⵜ,anticorps,مضادات (أجسام مضادة),mar tazzit,مار تاززيت,Antibodies
ⵏ ⵜⴰⵣⵣⵉⵜ,corporel,جسمي,n tazzit,ن تاززيت,My body
ⵜⴰⵣⵣⵉⵜ ⵏ ⵓⴼⴳⴰⵏ,corps humain,جسم الإنسان,tazzit n ufgan,تاززيت ن وفڭان,The human body
ⵜⴰⵣⵣⵔⴰⵢⵜ ⵜⴰⵖⵎⵙⴰⵏⵜ,cabinet dentaire,عيادة الأسنان,tazzrayt taghmsant,تاززرايت تاغمسانت,Dental clinic
ⵜⴰⵥⴹⴰⵕⵜ ⵉⵜⵜⵓⵙⵎⴰⵢⵏⵓⵏ,Energie renouvelable,طاقة متجددة,taẓḍaṛt ittusmaynun,تازّضارت يتتوسماينون,Renewable energy
ⵜⴰⵥⴹⴰⵕⵜ ⵏ ⵓⵙⴷⵓⵙ,capacité d'intensification,قدرات الدعم,taẓḍaṛt n usdus,تازّضارت ن وسدوس,Support capabilities
ⵜⴰⵥⴹⴰⵕⵜ ⵏ ⵓⵙⵎⵓⵜⵜⵉ,amovibilité,قابلية النقل,taẓḍaṛt n usmutti,تازّضارت ن وسموتتي,Portability
ⵜⴰⵥⴹⴰⵕⵜ ⵏ ⵜⴰⵙⵙⴰⵔⵜ,annulabilité,قابلية الإبطال (لعقد من العقود),taẓḍaṛt n tassart,تازّضارت ن تاسسارت,The revocability (of a contract).
ⵜⵉⵥⵓⵕⵉⵡⵉⵏ ⵏ ⵜⵏⵉⵖⵜ,arts martiaux,فنون الحرب,tiẓuṛiwin n tnight,تيزّوريوين ن تنيغت,The arts of war.
ⵜⵉⵥⵓⵕⵉⵡⵉⵏ ⵜⵉⵎⵙⵉⵍⵖⵉⵏ,arts plastiques,فنون تشكيلية,tiẓuṛiwin timsilghin,تيزّوريوين تيمسيلغين,Plastic arts
ⴳ ⵓⴱⵔⵉⴷ ⵏ ⵜⵥⵕⵉⴳⵜ,sous presse,قيد الطبع,g ubrid n tẓṛigt,ڭ وبريد ن تزّريڭت,"""Under printing"" or ""In the process of being printed."""
ⵜⴰⵎⴰⵎⴽⵜ ⵏ ⵜⵥⵕⵉⴳⵜ,modalité de publication,قواعد النشر,tamamkt n tẓṛigt,تامامكت ن تزّريڭت,Publishing rules
ⵜⴰⵥⵡⴰⵢⵜ ⵏ ⵜⴰⵔⴷⴰ,tasse de bain,قدح الحمَّام,taẓwayt n tarda,تازّوايت ن تاردا,The bathroom mug.
ⵓⴽⵓⵙ ⵏ ⵜⵉⴱⴰⵔ,harcèlement,تحرَّش,ukus n tibar,وكوس ن تيبار,"""Harassed"""
ⵉⵙⵎ ⵏ ⵜⵉⴳⴰⵡⵜ,nom d'action,اسم الحدث,ism n tigawt,يسم ن تيڭاوت,The name of the event
ⴰⵖⴰⵡⴰⵙ ⵏ ⵜⴳⴰⵡⵉⵏ,plan d'action,برنامج عمل,aghawas n tgawin,اغاواس ن تڭاوين,Work program
ⵜⵉⴳⵉⵡⵔⵜ ⵉⵔⴳⵍⵏ,audience à huis-clos,جلسة مغلقة,tigiwrt irgln,تيڭيورت يرڭلن,Closed session
ⵜⵉⴳⵉⵡⵔⵜ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ,audience publique,جلسة عمومية,tigiwrt tagdudant,تيڭيورت تاڭدودانت,Public session
ⴰⴳⴳⵉⵡⵙ ⵏ ⵜⴳⵎⵉ,contrôle de croissance,مراقبة النمو,aggiws n tgmi,اڭڭيوس ن تڭمي,Monitoring growth
ⵜⴰⵙⵓⵜⵍⵜ ⵏ ⵜⴳⵎⵉ,cycle de développement,دورة النمو,tasutlt n tgmi,تاسوتلت ن تڭمي,Growth cycle
ⵜⵉⴳⵏⵓⵜ ⵜⴰⵎⵏⴰⵏⴰⴹⵜ,tempête tropicale,عاصفة مدارية,tignut tamnanaḍt,تيڭنوت تامناناضت,Tropical storm
ⵍⴰ ⵜⵙⴰⵡⴰⵍ ⵜⴳⵏⵓⵜ,Le tonnerre gronde,زمجر الرعد,la tsawal tgnut,لا تساوال تڭنوت,The thunder roared.
ⵜⵟⵟⵉⵇⵙ ⵜⴳⵏⵓⵜ,La foudre a éclaté,انفجرت العاصفة الرعدية,tṭṭiqs tgnut,تططيقس تڭنوت,The thunderstorm erupted.
ⵜⵉⴳⵙⴰⵙ ⵏ ⵜⴰⵡⵍⴰ,frissons de fièvre,رعشة الحمى,tigsas n tawla,تيڭساس ن تاولا,The shiver of fever.
ⵜⵉⴳⵣⵉⵜ ⵏ ⵓⵄⵔⵓⵔ,vertèbre dorsale,فقرة ظهرية,tigzit n u3rur,تيڭزيت ن وعرور,Lumbar vertebra.
ⵜⵉⴳⵣⵉⵜ ⵏ ⵜⴰⴷⴰⵡⵜ,vertèbre dorsale,فقرة ظهرية,tigzit n tadawt,تيڭزيت ن تاداوت,Lumbar vertebra.
ⵜⵉⴳⵣⵉⵜ ⵏ ⵜⴼⴰⵏⵉⵏ,vertèbre lombaire,فقرة أسفل الظهر,tigzit n tfanin,تيڭزيت ن تفانين,Lower back paragraph
ⵜⵉⴳⵣⵉⵜ ⵜⴰⴳⵯⵊⵊⵎⴰⵏⵜ,vertèbre coccygienne,فقرة عصعصية,tigzit tagⵯjjmant,تيڭزيت تاڭⵯججمانت,Coccygeal vertebra.
ⵜⵉⴳⵣⵉⵜ ⵜⴰⵟⵍⴰⵚⵜ,atlas (première vertèbre),فهقة,tigzit taṭlaṣt,تيڭزيت تاطلاصت,"The word ""فهقة"" in Arabic can be translated as ""yawn"" in English. However, if you meant it in a different context, please provide more information for clarification."
ⴰⴷⵉⴼ ⵏ ⵜⴳⵥⵥⵍⵜ,moelle rénale,نخاع الكلية,adif n tgẓẓlt,اديف ن تڭزّزّلت,Bone marrow
ⴰⴼⴷⵓⴷⴷⵔ ⵏ ⵜⴳⵥⵥⵍⵜ,inflammation rénal,التهاب كلوي,afduddr n tgẓẓlt,افدوددر ن تڭزّزّلت,Kidney inflammation
ⴰⵃⴼⵓⴼⵓ ⵏ ⵜⴳⵥⵥⴰⵍ,Insuffisance rénale,قصور كلوي,aḥfufu n tgẓẓal,احفوفو ن تڭزّزّال,Kidney failure
ⴰⵏⴳⴰⵥ ⵏ ⵜⴳⵥⵥⴰⵍ,colique néphrétique,مغص كُلوي,angaẓ n tgẓẓal,انڭازّ ن تڭزّزّال,Renal colic
ⴰⵡⵃⴰⵍ ⵏ ⵜⴳⵥⵥⴰⵍ,Insuffisance rénale,قصور كلوي,awḥal n tgẓẓal,اوحال ن تڭزّزّال,Kidney failure
ⵜⵉⵍⵎⵜ ⵏ ⵜⴳⵥⵥⵍⵜ,cortex rénal,قشرة الكلية,tilmt n tgẓẓlt,تيلمت ن تڭزّزّلت,Kidney cortex
ⵜⵉⴷⴷⵉ ⵏ ⵡⴰⵎⴰⵏ,hauteur de l'eau,علو الماء,tiddi n waman,تيددي ن وامان,The rise of water.
ⵜⵉⴷⵔⵉ ⵏ ⵍⵎⵖⵔⵉⴱ,Couronne du Maroc,تاج المغرب,tidri n lmghrib,تيدري ن لمغريب,The Crown of Morocco
ⵜⴰⵎⵏⴰⴹⵜ ⵏ ⵜⵉⴹⴰⴼ,zone de contrôle,منطقة المراقبة,tamnaḍt n tiḍaf,تامناضت ن تيضاف,Monitoring area
ⵜⵉⴹⴰⴼ ⵜⵉⵏⵉⵎⴰⵏⵉⵏ,auto-supervision- autosurveillance,إشراف ذاتي,tiḍaf tinimanin,تيضاف تينيمانين,Self-supervision
ⵜⵉⴹⴼⵕⵉ ⵜⴰⵏⵣⵔⴰⴼⵜ,poursuites judiciaires,متابعة قضائية,tiḍfṛi tanzraft,تيضفري تانزرافت,Judicial prosecution
ⵜⵉⴼⴰⵡⵜ ⵏ ⵡⴰⴽⴰⵍ,clair de terre,ضوء الأرض,tifawt n wakal,تيفاوت ن واكال,Earth's light
ⵜⵉⴼⵉⵢⵉ ⵏ ⵓⵅⵙⴰⵏ,gencive,لثة,tifiyi n ukhsan,تيفييي ن وخسان,Gums (the tissue surrounding the teeth).
ⴰⴱⵣⴰⴳ ⵏ ⵜⴼⵉⵢⵉ ⵏ ⵓⵅⵙⴰⵏ,gingivite,التهاب اللثة,abzag n tfiyi n ukhsan,ابزاڭ ن تفييي ن وخسان,Gingivitis
ⵜⵉⴼⵍⵉ ⵜⴰⵏⵎⵍⴰⵏⵜ,abandon scolaire,هدر مدرسي,tifli tanmlant,تيفلي تانملانت,"""My school schedule"" or ""My school routine"" depending on the context."
ⵜⵉⴼⵔⴰⵙ ⵜⵉⵎⵙⴹⵚⴰⵢⵉⵏ,aspects comiques,مظاهر فكاهية,tifras timsḍṣayin,تيفراس تيمسضصايين,Humorous aspects.
ⵜⵉⴼⵔⴽⵉⵜ ⵏ ⵡⴰⴽⴰⵍ,croûte terrestre,قشرة الأرض,tifrkit n wakal,تيفركيت ن واكال,The Earth's crust
ⵜⵉⴼⵔⵜ ⵜⴰⵣⵔⴼⴰⵏⵜ,Casier judicaire,سجل عدلي,tifrt tazrfant,تيفرت تازرفانت,Criminal record
ⴱⵓ ⵜⴽⵔⴽⴰⵙ,menteur,كذاب,bu tkrkas,بو تكركاس,Liar
ⵓⴳⵓⵔ ⵖⵔ ⵜⴽⵔⵎⵉⵏ,marcher à reculons,تراجَع إلى الوراء، مشى القهقرى,ugur ghr tkrmin,وڭور غر تكرمين,"He stepped back, walked in reverse."
ⵡⴰⵔ ⵜⵉⴽⵜⵉⵜ,être amnésique,فاقد الذاكرة,war tiktit,وار تيكتيت,The one who has lost memory (Amnesiac).
ⴰⵎⵓⴷⵔⵓⵙ ⵏ ⵜⵉⵇⵇⵉⵍⵜ,immunodéprimé,مَنْقوصُ المَناعَة,amudrus n tiqqilt,امودروس ن تيققيلت,Immunocompromised
ⴰⵏⴳⵔⴰⵡ ⵏ ⵜⵉⵇⵇⵉⵍⵜ,système immunitaire,جهاز المناعة,angraw n tiqqilt,انڭراو ن تيققيلت,The immune system
ⵜⵉⵍⴰⵍⵜ ⵜⴰⵎⵇⵇⵔⴰⵏⵜ,Rôle principal,بطولة,tilalt tamqqrant,تيلالت تامققرانت,Championship
ⵜⵉⵍⵉ ⵏ ⵡⴰⴽⴰⵍ,ombre de la terre,ظل الأرض,tili n wakal,تيلي ن واكال,The shadow of the Earth
ⵜⵉⵍⵉⵏⵜⵉⵜ ⵜⵓⵙⵍⵉⵖⵜ,lentille de contact,عدسة لاصقة,tilintit tuslight,تيلينتيت توسليغت,Contact lens
ⴹⵕⵏⵜ ⵜⵉⵍⵍⴰⵙ,Il fait nuit,أظلم الحال,ḍṛnt tillas,ضرنت تيللاس,"""The situation became darker."" or ""The circumstances grew worse."""
ⵍⵍⴰⵏⵜ ⵜⵉⵍⵍⴰⵙ,L'obscurité règne,أظلم الحال,llant tillas,للانت تيللاس,"""The situation grew darker."""
ⵜⵉⵎⴷⴼⴼⵔⵜ  ⵜⴰⵢⵍⴰⵏⵜ,régression marine,تراجع بحري,timdffrt  taylant,تيمدففرت  تايلانت,Marine retreat
ⴰⵔⴰⵢ ⵏ ⵜⵎⵃⴹⵉⵜ,conservation d’archives,حِفظ أرشيفي,aray n tmḥḍit,اراي ن تمحضيت,"""Archiving my records"" or ""Saving my archive"""
ⵜⵉⵎⵇⵇⵉⵜ ⵏ ⵓⵏⵥⴰⵕ,goutte de pluie,قطرة مطر,timqqit n unẓaṛ,تيمققيت ن ونزّار,A raindrop
ⵜⵉⵎⵇⵇⵉⵜ ⵏ ⵡⴰⵎⴰⵏ ⴹⵕⵏⵉⵏ,point de rosée,نقطة الندى,timqqit n waman ḍṛnin,تيمققيت ن وامان ضرنين,Dew point
ⵜⵉⵎⵍⵉⵍⵍⴰⵢ ⵏ ⵡⴰⵙⵙⴰⵢⵏ,mal des transports,دوار السفر,timlillay n wassayn,تيمليللاي ن واسساين,Travel dizziness or motion sickness.
ⵜⵉⵎⵍⵙⴰ ⵎⵎⵓⵜⵜⴳⵏⵉⵏ,prêt-à-porter,ملابس جاهزة,timlsa mmuttgnin,تيملسا مموتتڭنين,Ready-made clothes
ⵜⵉⵎⵍⵙⵉⵜ ⵏ ⵓⵛⵓⵛⴼ,maillot de bain,ملابس السباحة,timlsit n ushushf,تيملسيت ن وشوشف,Swimsuits
ⵜⵉⵎⵍⵙⵉⵜ ⵏ ⵢⵉⴹⵚ,pyjama,منامة,timlsit n yiḍṣ,تيملسيت ن ييضص,Manama
ⴱⴰⴱ ⵏ ⵜⵎⵎⵓⵖⵔⴰ,Son Excellence,سعادة (معالي ),bab n tmmughra,باب ن تمموغرا,Happiness (Excellency)
ⵜⵉⴼⵔⵜ ⵏ ⵜⵎⵓⵛⴰ,formulaire,استمارة,tifrt n tmusha,تيفرت ن تموشا,Form or application form
ⵜⵉⵎⵓⵛⴰ ⵜⵉⵏⵉⵎⴰⵏⵉⵏ,données personnelles,معطيات شخصية,timusha tinimanin,تيموشا تينيمانين,Personal data
ⵜⴰⵢⴰⵏⵜ ⵏ ⵜⵎⵓⵛⴰ,intégrité des données,وحدة المعطيات,tayant n tmusha,تايانت ن تموشا,Data unit
ⵜⵉⵎⵙⴽⵔⵜ ⵜⴰⴱⴽⴽⵉⴹⵜ,comportement criminel,سلوك إجرامي,timskrt tabkkiḍt,تيمسكرت تابككيضت,Criminal behavior
ⵜⵉⵎⵙⵙⵉ ⵏ ⵓⵔⵓⵎⴰⵜⵉⵣⵎ,fièvre rhumatismale,حمى روماتيزمية,timssi n urumatizm,تيمسسي ن وروماتيزم,Rheumatic fever
ⵜⵉⵎⵙⵙⵉ ⵜⴰⵎⴽⵕⴰⴹⵜ,fièvre tertiaire,حمى الملاريا الثلاثية,timssi tamkṛaḍt,تيمسسي تامكراضت,Tertian malaria fever
ⴰⵍⴰⵢ ⵏ ⵜⵎⵙⵙⵉ,accès de fièvre,ارتفاع الحمّى,alay n tmssi,الاي ن تمسسي,High fever
ⵜⴰⵥⴰⵡⵜ ⵏ ⵜⵎⵙⵙⵉ,allumette,عود الثقاب,taẓawt n tmssi,تازّاوت ن تمسسي,Matchstick
ⵡⵡⵜ ⵜⵉⵎⵛⵓⵛⵛⴰⴹ,prétexter,برَّر,wwt timshushshaḍ,ووت تيمشوششاض,"""Justified"""
ⵜⵉⵏⴰⵡⵜ ⵏ ⵜⵉⵔⵔⴰ,Conférence de rédaction,اجتماع هيئة التحرير,tinawt n tirra,تيناوت ن تيررا,Editorial board meeting
ⵜⵉⵏⴰⵡⵜ ⵙ ⵓⴼⵉⴷⵢⵓ,vidéoconférence,محاضرة بالفيديو,tinawt s ufidyu,تيناوت س وفيديو,A video lecture
ⵜⵉⵏⴰⵡⵜ ⵜⴰⵏⵖⵎⴰⵙⵜ,conférence de presse,ندوة صحفية,tinawt tanghmast,تيناوت تانغماست,Press conference
ⵜⵉⵏⵎⵍ ⵉⵛⵛⴰⵔⵏ,école mixte,مدرسة مختلطة,tinml ishsharn,تينمل يششارن,A co-educational school.
ⵜⵉⵏⵎⵍ ⵜⴰⵢⵢⴰⵡⵜ,école satellite,مدرسة فرعية,tinml tayyawt,تينمل تايياوت,Sub-school or branch school
